Languages
Kumaoni
"Kumaoni, Transliteration"
Kumyk
"Kurdish (Iran), Arabic"
"Kurdish (Iraq), Arabic"
"Kurdish, Latin"
"Kurukh, Devanagari"
"Kurukh, Devanagari, Transliteration"
"Kurukh, Malayalam"
Kutai Malay
Kutchi
Kwanyama
Kyrgyz
Ladin
Ladino
Ladino (Israel)
Lahu
Lak
Laki
Lakota
Lama
"Lambadi, Devanagari"
"Lambadi, Devanagari, Transliteration"
"Lambadi, Kannada"
"Lambadi, Telugu"
"Lambadi, Telugu, Transliteration"
Lampung Api
Lango
Lao
"Lao, Transliteration"
Latgalian
Latin
Latvian
Ledo Kaili
Lendu
"Lepcha, Lepcha"
"Lepcha, Tibetan"
Lezgian (Azerbaijan)
Lezgian (Russia)
Ligurian
"Limbu, Devanagari"
"Limbu, Limbu"
Limburgish
Lingala (Angola)
Lingala (DRC)
Lisu
Lithuanian
Livonian
Livvi-Karelian
Lojban
Lombard
Lomwe
Low Saxon
Lower Sorbian
Luba-Kasai
Luba-Katanga
Luganda
Lugbara
Luo
Luxembourgish
Ma'anyan
Maasai
Maay Maay
"Maba, Arabic"
"Maba, Latin"
Macedonian
Madurese
Magahi (India)
"Magahi (India), Transliteration"
Magahi (Nepal)
Maguindanao
Maharashtrian Konkani
Mahasu Pahari
"Maithili, Devanagari"
"Maithili, Latin"
"Maithili, Transliteration"
Makassar Malay
"Makassarese, Latin"
"Makassarese, Lontara"
Makhuwa-Meetto
Makonde
Malagasy
"Malay (Brunei), Arabic"
"Malay (Brunei), Latin"
"Malay (Malaysia), Arabic"
"Malay (Malaysia), Latin"
"Malay, Singapore, Latin"
"Malayalam, Latin"
"Malayalam, Malayalam"
"Malayalam, Transliteration"
Maltese
Malvi
"Malvi, Transliteration"
Mamasa
Manado Malay
Mandar
Mandeali
"Mandeali, Transliteration"
Mandinka
Manggarai
"Manipuri, Bengali"
"Manipuri, Bengali, Transliteration"
"Manipuri, Latin"
"Manipuri, Meitei"
"Manipuri, Meitei, Transliteration"
Manx
Maori
Maranao
"Marathi, Devanagari"
"Marathi, Latin"
"Marathi, Transliteration"
Marba
Marwari (India)
"Marwari (India), Transliteration"
Marwari (Pakistan)
"Marwari (Pakistan), Transliteration"
Masaba
Massa
Mazandarani
Meadow Mari
Mehri
Melanau
Mende
Meru
Merwari
"Merwari, Transliteration"
Mewari
"Mewari, Transliteration"
Minangkabau
Mingrelian
Mizo
Moba
Moksha
Mon
Mongolian
"Mongolian, Transliteration"
Mongondow
"Montenegrin, Cyrillic"
"Montenegrin, Latin"
Mossi
Muna
Mundang
"Mundari, Bengali"
"Mundari, Devanagari"
"Mundari, Latin"
"Mundari, Odia"
Muong
Musi
Nahuatl
Nande
Nandi
Nauruan
Navajo
Ndau
Ndonga
Neapolitan
Nenets
"Nepali (India), Devanagari"
"Nepali (India), Latin"
"Nepali (India), Transliteration"
"Nepali (Nepal), Devanagari"
Newari
Ngaju
Ngambay
Ngbaka Gbaya
Nias
Nigerian Pidgin
Nimadi
"Nimadi, Transliteration"
Niuean
Nkore
North Moluccan Malay
Northern Betsimisaraka Malagasy
Northern Grebo
Northern Hindko
"Northern Hindko, Transliteration"
Northern Luri
Northern Min
Northern Ndebele
Northern Sami
Northern Sotho
Northern Thai
Norwegian Bokmål
Norwegian Nynorsk
Ntcham
Nung
"Nuosu, Latin"
"Nuosu, Yi"
Nupe
Nyakyusa
Nyamwezi
Nyanja
Nyaturu
Nyoro
Occitan
"Odia, Latin"
"Odia, Odia"
"Odia, Transliteration"
"Ojibwe, Latin"
"Ojibwe, Syllabics"
Oromo
Osage
Ossetian
Pa'O Karen
Pahari-Pothwari
"Pahari-Potwari, Transliteration"
Palantine German
Pamona
Pangasinan
Papiamento (Aruba)
Papiamentu (Bonaire and Curaçao)
Papuan Malay
Parauk Wa
Parkari Koli
Pashto
"Pashto, Transliteration"
Persian
"Persian, Transliteration"
Picard
Piedmontese
Plateau Malagasy
Pokot
Polish
Pontic Greek
Portuguese (Africa)
Portuguese (Angola)
Portuguese (Brazil)
Portuguese (Macau)
Portuguese (Portugal)
Pulaar
"Punjabi, Arabic"
"Punjabi, Arabic, Transliteration"
"Punjabi, Gurmukhi"
"Punjabi, Gurmukhi, Transliteration"
"Punjabi, Latin"
Qashqai
Quechua
"Rangpuri, Bengali"
"Rangpuri, Devanagari"
"Rangpuri, Devanagari, Transliteration"
Rejang
Réunion Creole
Rinconada Bikol
Rohingya
Romanian (Moldova)
Romanian (Romania)
Romansh
Rundi
Russian (Belarus)
Russian (Kyrgyzstan)
Russian (Russia)
Rusyn
Sabah Malay
Sadri
Saint Lucian Creole French
Sakalava Malagasy
Sakha
Samoan
Samogitian
Sango
"Sanskrit, Devanagari"
"Sanskrit, Latin"
"Sanskrit, Transliteration"
"Santali, Bengali"
"Santali, Bengali, Transliteration"
"Santali, Devanagari"
"Santali, Latin"
"Santali, Ol Chiki"
"Santali, Ol Chiki, Transliteration"
Sar
"Saraiki, Sindhi Arabic"
"Saraiki, Sindhi Arabic, Transliteration"
"Saraiki, Urdu Arabic"
"Saraiki, Urdu Arabic, Transliteration"
Sardinian
"Sasak, Aksara Bali"
"Sasak, Latin"
Sassarese
Saurashtra
Scots
Scottish Gaelic
Sebat Bet Gurage
Sena
"Serbian, Cyrillic"
"Serbian, Latin"
Serer
Sesotho (Lesotho)
Sesotho (South Africa)
Seychellois Creole
Sgaw Karen
Shan
Shekhawati
"Shekhawati, Transliteration"
Sherpa
Shina
"Shina, Transliteration"
Shona
Siberian Tatar
Sicilian
Sidamo
Silesian
"Silt'e, Ge’ez"
"Silt'e, Latin"
"Sindhi, Arabic"
"Sindhi, Arabic, Transliteration"
"Sindhi, Devanagari"
"Sindhi, Devanagari, Transliteration"
"Sindhi, Latin"
Sinhala
"Sinhala, Transliteration"
Slovak
Slovenian
Soga
Somali
Songe
Soninke
South Bolivian Quechua
Southeastern Pashayi
Southern Balochi
"Southern Balochi, Transliteration"
Southern Betsimisaraka Malagasy
Southern Hindko
"Southern Hindko, Transliteration"
Southern Kurdish
Southern Luri
"Southern Min, POJ"
"Southern Min, TL"
Southern Ndebele
Southern Oromo
Southern Thai
Southwestern Pashayi
Spanish (Argentina)
Spanish (Latin America)
Spanish (Mexico)
Spanish (Spain)
Spanish (US)
Sranan
Sukuma
"Sundanese, Arabic"
"Sundanese, Latin"
"Sundanese, Sundanese"
Supyire
Surgujia
Surjapuri
"Surjapuri, Transliteration"
Swahili
Swazi (South Africa)
Swazi (Swaziland)
Swedish (Finland)
Swedish (Sweden)
Swiss German
"Sylheti, Bengali"
"Sylheti, Latin"
"Sylheti, Syloti Nagri"
Tabasaran
Tahitian
"Tai Dam, Latin"
"Tai Dam, Tai Viet"
Tai Lue
Tai Nuea
Tajik
Talysh (Azerbaijan)
Talysh (Iran)
Talysh (Russia)
"Tamazight, Latin"
"Tamazight, Tifinagh"
"Tamil (India), Latin"
"Tamil (India), Tamil"
"Tamil (India), Transliteration"
Tamil (Singapore)
Tamil (Sri Lanka)
Tandroy-Mahafaly Malagasy
Tatar
Tati
Tausug
Tay
"Telugu, Latin"
"Telugu, Telugu"
"Telugu, Transliteration"
Temne
Teso
Tetela
Tetum
Thai
Tibetan
Tigrinya (Eritrea)
Tigrinya (Ethiopia)
Tiv
Tok Pisin
Tokelauan
Tongan
Tooro
Toraja-Sa'dan
Torwali
Trinidadian Creole English
Tsonga
Tswa
Tswana (Botswana)
Tswana (South Africa)
Tulu
"Tulu, Transliteration"
Tumbuka
Turkana
Turkish (Cyprus)
Turkish (Turkey)
Turkmen
Tuvaluan
Tuvan
Udmurt
Ukrainian
Umbundu
Upper Saxon
Upper Sorbian
Urdu (India)
"Urdu (India), Latin"
"Urdu (India), Transliteration"
Urdu (Pakistan)
Urum
Uyghur
"Uzbek, Cyrillic"
"Uzbek, Latin"
Vai
Valencian
Varhadi
"Varhadi, Transliteration"
"Vasavi, Devanagari"
"Vasavi, Gujarati"
Veluws
Venda
Venetian
Veps
Vietnamese
Vlax Romani (Albania)
Vlax Romani (Romania)
Võro
Wagdi
"Wagdi, Transliteration"
Walloon
Wanetsi
Waray
Wayuu
Welsh
West Flemish
Western Balochi
"Western Cham, Cham"
"Western Cham, Latin"
Western Frisian
"Western Kayah, Kayah Li"
Wolaytta
Wolof
Xaasongaxango
Xhosa
Xong
Yaka
Yao
Yiddish (Israel)
Yiddish (US)
"Yiddish (US), Transliteration"
Yongbei Zhuang
Yoruba
Youjiang Zhuang
Yucatec Maya
Zande
Zarma
Zaza
Zeelandic
Zhuang
Zulu
